None,5,6,7,8,9,10,11,12,13,14
13 (19.79),13 (18.14),14 (17.8),13 (20.45),13 (17.74),14 (19.4),15 (22.24),14 (18.28),14 (21.57),13 (20.64),14 (20.52)
10 (19.52),12 (21.69),10 (19.09),9 (19.77),9 (19.14),7 (19.56),9 (18.33),12 (20.82),12 (21.29),9 (20.42),11 (20.8)
2 (18.57),6 (16.02),4 (19.82),3 (16.78),3 (17.25),5 (17.08),4 (18.26),4 (19.1),4 (17.54),2 (15.18),2 (15.77)
4 (12.39),3 (13.41),4 (15.06),2 (15.47),1 (12.09),5 (16.45),5 (15.91),1 (13.59),3 (12.23),1 (13.19),6 (16.48)
0 (7.49),2 (14.3),3 (13.94),1 (12.45),2 (18.17),2 (17.17),2 (18.85),1 (10.75),2 (20.66),3 (23.4),0 (11.8)
0 (8.37),0 (7.25),1 (9.76),1 (8.92),2 (9.31),1 (11.93),1 (11.76),3 (13.07),1 (11.4),0 (3.4),0 (3.85)
6 (10.35),4 (9.93),6 (14.89),3 (10.02),0 (10.72),2 (10.26),0 (8.01),0 (12.19),1 (13.12),0 (8.54),0 (11.33)
0 (8.55),0 (5.83),0 (9.1),0 (5.24),0 (12.93),0 (8.32),0 (8.21),0 (9.97),0 (11.96),0 (10.88),0 (5.83)
0.2782 (55.40),0.2587 (45.77),0.2943 (57.72),0.2640 (57.83),0.2530 (51.88),0.3711 (52.97),0.2744 (48.34),0.2497 (51.80),0.2798 (51.55),0.2914 (48.16),0.2912 (50.41)
0.3451 (79.75),0.3171 (73.55),0.3012 (76.43),0.2401 (81.48),0.2614 (74.88),0.2504 (87.37),0.2970 (75.35),0.2756 (56.04),0.2488 (61.95),0.3010 (84.35),0.3208 (69.69)
0.2636 (120.09),0.2297 (101.63),0.2617 (108.61),0.1885 (104.10),0.2111 (99.43),0.2414 (95.07),0.2549 (103.79),0.2337 (86.90),0.2491 (101.50),0.2182 (95.23),0.3249 (99.00)
0.1852 (113.67),0.1689 (125.55),0.2145 (102.21),0.2059 (123.39),0.1736 (112.06),0.2320 (115.07),0.1894 (110.94),0.1507 (125.60),0.1626 (111.18),0.2034 (100.83),0.2305 (106.16)
0.1187 (68.11),0.2407 (87.69),0.2717 (84.55),0.1832 (93.60),0.2085 (91.29),0.2331 (97.80),0.3009 (94.33),0.2492 (104.29),0.2928 (114.22),0.4019 (98.08),0.3276 (23.94)
0.1461 (62.12),0.1223 (74.12),0.1934 (66.36),0.1345 (67.53),0.1497 (63.16),0.2414 (83.96),0.2167 (79.79),0.2191 (86.28),0.2314 (47.25),0.1503 (12.06),0.1566 (8.88)
0.2049 (69.67),0.1516 (64.39),0.2377 (83.26),0.2230 (75.70),0.1679 (96.15),0.1705 (74.86),0.2264 (88.10),0.1850 (74.45),0.2061 (88.52),0.0969 (94.61),0.1858 (84.06)
0.1893 (69.64),0.0877 (59.75),0.1230 (63.03),0.1470 (55.43),0.2381 (63.76),0.2328 (65.32),0.1685 (58.57),0.2686 (71.31),0.1958 (72.30),0.2264 (38.19),0.1668 (9.50)
