None,5,6,7,8,9,10,11,12,13,14
13 (13.00),14 (15.20),14 (14.24),15 (14.08),15 (13.70),15 (15.14),15 (14.21),15 (14.27),15 (15.65),15 (14.47),15 (15.65)
15 (15.15),15 (16.26),12 (16.74),15 (16.07),15 (15.51),15 (16.71),15 (16.65),15 (19.05),15 (18.53),15 (18.44),15 (19.32)
10 (17.39),9 (18.20),9 (19.54),12 (17.12),10 (20.23),12 (20.16),12 (19.32),11 (21.13),13 (21.48),12 (21.31),11 (21.59)
10 (16.53),11 (19.15),9 (19.34),8 (18.59),12 (18.48),12 (20.20),10 (21.46),10 (23.31),9 (20.45),10 (22.11),12 (23.39)
0 (14.66),0 (15.68),0 (18.48),0 (21.15),0 (18.92),0 (21.46),1 (20.76),0 (20.43),0 (20.63),0 (19.09),0 (11.40)
0 (9.61),0 (15.13),0 (14.52),1 (16.35),0 (18.25),1 (17.07),0 (17.23),0 (18.03),0 (6.59),0 (3.81),0 (3.15)
1 (15.79),1 (16.32),1 (19.38),2 (16.53),0 (20.11),2 (18.06),0 (23.16),0 (20.27),0 (25.02),0 (22.19),0 (23.87)
0 (11.28),0 (15.33),0 (14.18),0 (14.14),0 (17.09),0 (18.16),0 (14.68),0 (19.42),0 (18.48),0 (7.43),0 (5.59)
0.2513 (33.74),0.3047 (26.84),0.2531 (22.02),0.2764 (20.15),0.2712 (18.46),0.2711 (21.11),0.2457 (18.78),0.2911 (19.69),0.2494 (21.45),0.2472 (19.24),0.2663 (21.33)
0.2591 (23.69),0.2595 (25.70),0.2349 (39.20),0.2584 (26.08),0.2608 (23.13),0.2690 (26.08),0.2559 (26.52),0.2497 (29.10),0.2363 (29.22),0.2466 (27.77),0.2602 (32.20)
0.2519 (44.38),0.2356 (53.70),0.2839 (47.13),0.2464 (42.97),0.2606 (50.86),0.2838 (51.01),0.2715 (43.46),0.2765 (45.29),0.2784 (44.51),0.2735 (45.29),0.2647 (47.51)
0.2170 (62.45),0.2224 (52.27),0.2281 (55.54),0.2068 (57.77),0.2276 (51.21),0.2393 (56.31),0.2713 (54.01),0.2539 (53.21),0.2626 (54.93),0.2466 (51.89),0.2544 (50.85)
0.3348 (59.58),0.2700 (46.65),0.4180 (54.65),0.4614 (60.41),0.4720 (53.06),0.3855 (68.82),0.3849 (61.48),0.3154 (65.27),0.4362 (65.35),0.5853 (50.77),0.4539 (18.22)
0.2061 (40.62),0.2484 (54.85),0.2835 (50.70),0.2658 (58.82),0.2290 (58.48),0.2324 (56.00),0.2130 (64.52),0.2766 (60.44),0.1712 (19.01),0.1505 (8.81),0.1560 (5.77)
0.2445 (58.67),0.2544 (54.06),0.2589 (65.01),0.2823 (55.89),0.2116 (62.88),0.2061 (63.31),0.2816 (64.02),0.2184 (66.14),0.3202 (73.09),0.2968 (66.20),0.3165 (68.91)
0.2379 (34.40),0.3251 (47.29),0.3376 (45.55),0.2740 (48.26),0.3351 (50.65),0.3029 (49.16),0.2729 (47.01),0.3300 (57.35),0.3711 (48.18),0.2055 (12.14),0.1477 (8.49)
